oa11,Final_Rurality,FundingStreamEligibilty
E00000591,Urban,UCEF
E00000592,Urban,UCEF
E00000593,Urban,UCEF
E00000594,Urban,UCEF
E00000595,Urban,UCEF
E00000596,Urban,UCEF
E00000597,Urban,UCEF
E00000598,Urban,UCEF
E00000599,Urban,UCEF
E00000600,Urban,UCEF
E00000601,Urban,UCEF
E00000602,Urban,UCEF
E00000603,Urban,UCEF
E00000604,Urban,UCEF
E00000605,Urban,UCEF
E00000606,Urban,UCEF
E00000607,Urban,UCEF
E00000608,Urban,UCEF
E00000609,Urban,UCEF
E00000610,Urban,UCEF
E00000611,Urban,UCEF
E00000612,Urban,UCEF
E00000613,Urban,UCEF
E00000614,Urban,UCEF
E00000615,Urban,UCEF
E00000616,Urban,UCEF
E00000617,Urban,UCEF
E00000618,Urban,UCEF
E00000619,Urban,UCEF
E00000620,Urban,UCEF
E00000622,Urban,UCEF
E00000623,Urban,UCEF
E00000624,Urban,UCEF
E00000625,Urban,UCEF
E00000626,Urban,UCEF
E00000627,Urban,UCEF
E00000628,Urban,UCEF
E00000629,Urban,UCEF
E00000630,Urban,UCEF
E00000631,Urban,UCEF
E00000632,Urban,UCEF
E00000633,Urban,UCEF
E00000634,Urban,UCEF
E00000635,Urban,UCEF
E00000636,Urban,UCEF
E00000637,Urban,UCEF
E00000638,Urban,UCEF
E00000640,Urban,UCEF
E00000641,Urban,UCEF
E00000642,Urban,UCEF
E00000643,Urban,UCEF
E00000644,Urban,UCEF
E00000645,Urban,UCEF
E00000646,Urban,UCEF
E00000647,Urban,UCEF
E00000648,Urban,UCEF
E00000649,Urban,UCEF
E00000650,Urban,UCEF
E00000651,Urban,UCEF
E00000652,Urban,UCEF
E00000653,Urban,UCEF
E00000654,Urban,UCEF
E00000655,Urban,UCEF
E00000656,Urban,UCEF
E00000657,Urban,UCEF
E00000658,Urban,UCEF
E00000659,Urban,UCEF
E00000660,Urban,UCEF
E00000661,Urban,UCEF
E00000662,Urban,UCEF
E00000663,Urban,UCEF
E00000664,Urban,UCEF
E00000665,Urban,UCEF
E00000666,Urban,UCEF
E00000667,Urban,UCEF
E00000668,Urban,UCEF
E00000669,Urban,UCEF
E00000670,Urban,UCEF
E00000671,Urban,UCEF
E00000672,Urban,UCEF
E00000674,Urban,UCEF
E00000675,Urban,UCEF
E00000676,Urban,UCEF
E00000677,Urban,UCEF
E00000678,Urban,UCEF
E00000679,Urban,UCEF
E00000680,Urban,UCEF
E00000681,Urban,UCEF
E00000682,Urban,UCEF
E00000683,Urban,UCEF
E00000684,Urban,UCEF
E00000685,Urban,UCEF
E00000686,Urban,UCEF
E00000687,Urban,UCEF
E00000688,Urban,UCEF
E00000689,Urban,UCEF
E00000690,Urban,UCEF
E00000691,Urban,UCEF
E00000692,Urban,UCEF
E00000693,Urban,UCEF
E00000694,Urban,UCEF
E00000695,Urban,UCEF
E00000696,Urban,UCEF
E00000697,Urban,UCEF
E00000698,Urban,UCEF
E00000699,Urban,UCEF
E00000700,Urban,UCEF
E00000701,Urban,UCEF
E00000702,Urban,UCEF
E00000703,Urban,UCEF
E00000704,Urban,UCEF
E00000705,Urban,UCEF
E00000706,Urban,UCEF
E00000707,Urban,UCEF
E00000708,Urban,UCEF
E00000709,Urban,UCEF
E00000710,Urban,UCEF
E00000711,Urban,UCEF
E00000712,Urban,UCEF
E00000713,Urban,UCEF
E00000714,Urban,UCEF
E00000715,Urban,UCEF
E00000716,Urban,UCEF
E00000717,Urban,UCEF
E00000718,Urban,UCEF
E00000719,Urban,UCEF
E00000720,Urban,UCEF
E00000721,Urban,UCEF
E00000722,Urban,UCEF
E00000723,Urban,UCEF
E00000724,Urban,UCEF
E00000725,Urban,UCEF
E00000726,Urban,UCEF
E00000727,Urban,UCEF
E00000728,Urban,UCEF
E00000729,Urban,UCEF
E00000730,Urban,UCEF
E00000731,Urban,UCEF
E00000732,Urban,UCEF
E00000733,Urban,UCEF
E00000734,Urban,UCEF
E00000736,Urban,UCEF
E00000737,Urban,UCEF
E00000738,Urban,UCEF
E00000739,Urban,UCEF
E00000740,Urban,UCEF
E00000742,Urban,UCEF
E00000743,Urban,UCEF
E00000744,Urban,UCEF
E00000745,Urban,UCEF
E00000746,Urban,UCEF
E00000747,Urban,UCEF
E00000748,Urban,UCEF
E00000749,Urban,UCEF
E00000750,Urban,UCEF
E00000751,Urban,UCEF
E00000752,Urban,UCEF
E00000754,Urban,UCEF
